section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px]
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1,1634111776612014294,1634111777360060294,748,347.078,786.993
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,2,1634111777412090294,1634111777628078294,215,306.911,633.054
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,3,1634111777648117294,1634111778624071294,975,268.894,556.122
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,4,1634111778632112294,1634111779160108294,527,243.373,576.069
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,5,1634111779236213294,1634111779396070294,159,369.573,601.76
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,6,1634111779416106294,1634111779704164294,288,469.067,595.186
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,7,1634111779736082294,1634111780044102294,308,621.021,590.489
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,8,1634111780080123294,1634111780376093294,295,707.808,569.185
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,9,1634111780404112294,1634111780668103294,263,779.296,533.312
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,10,1634111780680095294,1634111781604079294,923,716.808,557.826
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,11,1634111781632071294,1634111781972114294,340,725.646,484.992
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,12,1634111782004178294,1634111783128070294,1123,730.214,358.326
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,13,1634111783168055294,1634111783584135294,416,652.74,404.669
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,14,1634111783636098294,1634111784224203294,588,727.397,346.87
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,15,1634111784264135294,1634111786644052294,2379,834.881,383.37
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,16,1634111786908088294,1634111787004122294,96,836.087,792.346
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,17,1634111787008117294,1634111787124069294,115,866.343,789.631
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,18,1634111787148100294,1634111787492106294,344,828.905,717.439
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,19,1634111787524106294,1634111787800131294,276,733.916,691.978
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,20,1634111787844086294,1634111788940102294,1096,810.095,778.664
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,21,1634111788996104294,1634111789208136294,212,859.01,720.592
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,22,1634111789228114294,1634111790960108294,1731,734.472,694.769
aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,23,1634111790976104294,1634111795352085294,4375,734.755,668.122
