index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,ref_center_x,ref_center_y
649,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3251.906,588.916,756.585,1.0,5.0,,565,757
655,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3279.918,583.752,756.688,1.0,5.0,,559,758
662,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3315.913,583.912,758.449,1.0,5.0,,559,759
670,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3355.911,591.011,758.912,1.0,5.0,,567,760
676,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3383.922,592.396,760.565,1.0,5.0,,568,762
682,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3415.858,594.256,760.49,1.0,5.0,,570,761
689,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3451.943,595.471,760.216,1.0,5.0,,571,761
696,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3483.998,593.225,760.16,1.0,5.0,,569,761
702,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3515.9,597.087,760.438,1.0,5.0,,573,761
709,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3552.082,603.773,761.36,1.0,5.0,,580,762
715,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3579.918,603.249,764.551,1.0,5.0,,579,766
721,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3611.858,603.7,767.027,1.0,5.0,,580,768
729,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3651.999,604.695,766.364,1.0,5.0,,581,767
735,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3679.909,607.754,767.252,1.0,5.0,,584,768
743,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3719.943,607.709,769.681,1.0,5.0,,583,771
749,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3751.948,607.847,770.115,1.0,5.0,,583,771
756,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3787.919,610.011,770.808,1.0,5.0,,585,772
762,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3815.866,552.826,726.618,1.0,,,528,728
769,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3851.843,521.241,718.795,1.0,6.0,,496,720
775,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3879.951,526.375,725.294,1.0,6.0,,502,726
781,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3912.183,514.63,715.601,1.0,6.0,,491,717
789,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3952.017,514.714,715.748,1.0,6.0,,491,717
795,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,3979.863,509.538,709.843,1.0,6.0,,486,711
801,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4011.894,507.685,711.422,1.0,,,484,712
809,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4052.017,441.239,845.028,1.0,,,419,846
815,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4079.903,475.357,943.881,1.0,,,451,946
822,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4115.869,339.659,850.276,1.0,,,315,853
829,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4151.876,287.895,596.077,1.0,,,262,599
835,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4179.935,413.107,612.636,1.0,,,387,616
842,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4215.919,409.553,547.567,1.0,,,384,551
850,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4256.0,402.169,523.93,1.0,,,376,527
855,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4279.901,402.231,509.274,1.0,,,376,512
862,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4315.912,370.912,530.616,1.0,7.0,,345,534
869,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4351.979,358.264,522.196,1.0,7.0,,332,525
875,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4383.945,360.033,515.579,1.0,7.0,,333,519
882,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4415.907,349.899,509.363,1.0,7.0,,323,512
889,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4451.987,349.891,508.238,1.0,7.0,,323,511
895,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4483.877,348.492,502.654,1.0,7.0,,321,506
902,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4515.911,340.723,500.216,1.0,7.0,,315,502
909,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4551.942,341.543,497.015,1.0,7.0,,315,499
915,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4583.924,342.36,496.206,1.0,7.0,,315,498
922,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4615.92,341.119,497.154,1.0,7.0,,313,499
930,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4655.989,329.258,434.894,1.0,,,301,437
935,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4683.887,330.711,380.085,1.0,8.0,,303,381
942,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4715.869,324.17,383.466,1.0,8.0,,296,384
950,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4755.882,325.36,364.967,1.0,8.0,,297,366
955,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4783.921,323.313,363.908,1.0,8.0,,295,365
961,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4811.92,320.458,369.621,1.0,8.0,,292,370
969,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4851.912,321.92,369.464,1.0,8.0,,294,369
975,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4883.861,322.566,371.547,1.0,8.0,,295,371
981,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4911.909,321.208,374.547,1.0,8.0,,294,374
989,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4951.901,322.213,371.077,1.0,8.0,,296,371
994,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,4975.907,320.897,364.015,1.0,8.0,,295,364
1002,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5015.922,319.117,366.2,1.0,8.0,,293,366
1009,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5051.89,320.375,362.781,1.0,8.0,,294,363
1015,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5083.906,318.542,360.448,1.0,8.0,,293,361
1022,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5115.935,317.247,358.757,1.0,8.0,,292,360
1029,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5151.92,315.194,358.256,1.0,8.0,,291,359
1035,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5183.954,314.311,360.181,1.0,8.0,,290,361
1041,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5212.001,314.988,360.28,1.0,8.0,,291,361
1049,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5251.971,315.61,360.358,1.0,8.0,,292,361
1054,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5279.856,315.987,360.183,1.0,8.0,,292,361
1062,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5319.831,318.633,359.706,1.0,8.0,,295,362
1068,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5347.959,320.995,358.747,1.0,8.0,,297,361
1075,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5383.945,330.546,357.352,1.0,8.0,,307,359
1081,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5412.429,334.017,357.431,1.0,8.0,,309,360
1088,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5447.91,336.805,355.217,1.0,8.0,,312,358
1095,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5483.874,335.049,355.948,1.0,8.0,,310,359
1102,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5519.941,333.991,357.748,1.0,8.0,,309,362
1107,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5543.851,333.171,358.2,1.0,8.0,,308,362
1114,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5579.919,337.477,358.014,1.0,8.0,,312,362
1120,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5607.913,337.102,356.432,1.0,8.0,,312,360
1126,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5639.91,337.31,376.293,1.0,,,313,380
1133,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5671.922,314.035,483.893,1.0,,,290,488
1139,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5703.916,301.569,564.967,1.0,,,278,569
1146,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5739.923,309.535,601.567,1.0,9.0,,286,607
1154,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,5779.938,307.996,604.54,1.0,9.0,,283,611
