index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
615,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199780746470,593.051,533.642,1.0,4.0,,3076.059,569,533
620,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199808732470,594.362,533.613,1.0,4.0,,3104.045,569,532
627,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199840755470,594.996,533.597,1.0,4.0,,3136.068,570,531
635,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199880712470,592.075,530.864,1.0,4.0,,3176.025,567,528
641,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199912684470,592.839,529.722,1.0,4.0,,3207.997,567,526
648,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199948751470,616.0,514.594,1.0,4.0,,3244.064,589,511
655,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199984720470,614.679,509.272,1.0,4.0,,3280.033,587,505
663,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200024702470,611.432,508.109,1.0,4.0,,3320.015,582,505
667,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200044709470,610.891,505.695,1.0,4.0,,3340.022,581,504
674,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200076705470,609.942,501.458,1.0,4.0,,3372.018,580,500
682,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200116726470,609.677,498.204,1.0,4.0,,3412.039,580,498
688,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200148688470,608.695,494.243,1.0,4.0,,3444.001,578,494
695,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200184750470,608.695,494.176,1.0,4.0,,3480.063,578,495
702,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200216719470,608.359,490.939,1.0,4.0,,3512.032,576,493
707,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200244725470,608.122,489.65,1.0,4.0,,3540.038,577,494
714,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200276724470,607.817,488.458,1.0,4.0,,3572.037,577,493
722,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200316764470,609.059,486.11,1.0,4.0,,3612.077,579,492
727,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200344725470,609.805,486.23,1.0,4.0,,3640.038,579,492
734,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200376703470,575.656,530.766,1.0,,,3672.016,545,538
742,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200416700470,540.789,569.973,1.0,5.0,,3712.013,509,577
748,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200448698470,539.733,570.158,1.0,5.0,,3744.011,507,578
754,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200476699470,543.349,566.889,1.0,5.0,,3772.012,510,576
762,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200516672470,543.714,564.303,1.0,5.0,,3811.985,510,574
768,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200548684470,547.949,563.988,1.0,5.0,,3843.997,514,575
775,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200584663470,540.091,564.001,1.0,5.0,,3879.976,506,575
782,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200616669470,535.817,561.056,1.0,5.0,,3911.982,502,572
787,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200644704470,532.581,561.326,1.0,5.0,,3940.017,499,572
794,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200676684470,530.834,562.146,1.0,5.0,,3971.997,498,573
802,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200716696470,530.681,560.667,1.0,5.0,,4012.009,498,572
808,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200748721470,531.686,560.802,1.0,5.0,,4044.034,500,572
813,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200772729470,530.613,560.507,1.0,5.0,,4068.042,499,572
822,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200820696470,529.483,561.143,1.0,5.0,,4116.009,497,573
828,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200848714470,528.313,561.257,1.0,5.0,,4144.027,496,574
835,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200884685470,528.406,560.209,1.0,5.0,,4179.998,496,574
841,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200912693470,530.394,564.829,1.0,5.0,,4208.006,498,580
849,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200952708470,543.16,586.335,1.0,5.0,,4248.021,511,602
854,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775200980679470,544.058,586.351,1.0,5.0,,4275.992,513,602
861,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201012714470,545.329,585.527,1.0,5.0,,4308.027,514,602
869,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201052697470,549.354,585.615,1.0,5.0,,4348.01,518,601
874,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201080715470,548.849,584.681,1.0,5.0,,4376.028,517,600
881,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201112697470,549.027,583.83,1.0,5.0,,4408.01,516,599
888,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201148743470,550.186,584.542,1.0,5.0,,4444.056,516,600
894,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201180733470,598.11,597.499,1.0,,,4476.046,564,612
902,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201220714470,609.066,600.308,1.0,6.0,,4516.027,574,615
907,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201244748470,610.552,601.587,1.0,6.0,,4540.061,576,617
915,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201284762470,610.631,602.909,1.0,6.0,,4580.075,575,618
921,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201312708470,607.36,602.409,1.0,6.0,,4608.021,570,616
929,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201352686470,606.049,604.006,1.0,6.0,,4647.999,568,618
934,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201380685470,604.8,603.328,1.0,6.0,,4675.998,567,616
941,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201412710470,607.717,602.186,1.0,6.0,,4708.023,569,615
948,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201448695470,608.291,601.686,1.0,6.0,,4744.008,568,615
954,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201480720470,608.831,601.399,1.0,6.0,,4776.033,568,613
960,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201508729470,609.861,599.359,1.0,,,4804.042,568,611
968,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201548694470,704.869,676.004,1.0,,,4844.007,663,687
974,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201580714470,703.981,671.349,1.0,7.0,,4876.027,662,682
981,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201616718470,699.64,676.818,1.0,7.0,,4912.031,657,689
988,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201648708470,697.613,674.415,1.0,7.0,,4944.021,656,686
994,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201680723470,698.543,671.338,1.0,7.0,,4976.036,657,684
1000,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201708688470,696.636,671.755,1.0,7.0,,5004.001,656,686
1008,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201748714470,693.671,668.042,1.0,7.0,,5044.027,653,683
1014,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201780708470,689.591,668.568,1.0,7.0,,5076.021,649,685
1020,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201808726470,690.302,668.696,1.0,7.0,,5104.039,649,687
1028,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201848701470,687.988,667.29,1.0,,,5144.014,647,687
1034,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201880704470,626.182,584.074,1.0,,,5176.017,585,605
1040,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201908726470,503.271,493.636,1.0,,,5204.039,463,517
1048,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201948729470,485.85,483.564,1.0,8.0,,5244.042,446,508
1053,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775201976709470,487.303,479.183,1.0,8.0,,5272.022,446,505
1061,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202016727470,489.654,477.7,1.0,8.0,,5312.04,449,505
1068,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202048709470,493.209,474.675,1.0,8.0,,5344.022,451,502
1073,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202076718470,484.848,458.815,1.0,8.0,,5372.031,443,487
1081,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202116742470,487.202,457.301,1.0,8.0,,5412.055,446,486
1088,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202148732470,485.741,456.63,1.0,8.0,,5444.045,445,487
1094,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202180700470,484.43,456.264,1.0,8.0,,5476.013,444,487
1100,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202208733470,483.153,457.799,1.0,8.0,,5504.046,443,490
1108,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202248719470,475.331,440.668,1.0,8.0,,5544.032,436,474
1114,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202280717470,475.193,440.057,1.0,8.0,,5576.03,435,473
1120,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202313624470,475.49,441.512,1.0,8.0,,5608.937,435,476
1127,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202344720470,478.134,438.86,1.0,8.0,,5640.033,439,474
1134,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202380700470,476.165,436.538,1.0,8.0,,5676.013,436,472
1140,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202412723470,474.174,435.884,1.0,8.0,,5708.036,435,471
1147,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202444758470,473.272,433.801,1.0,8.0,,5740.071,434,469
1154,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202480681470,473.454,433.397,1.0,8.0,,5775.994,434,468
1159,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775202504907470,473.792,434.809,1.0,8.0,,5800.22,435,470
