section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006051828483,-0.731707,-3.841464,-2.073171,-0.022156,-0.998169,0.04425,6.990478406654972,89.56867705075962
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006056768483,-0.853659,-4.02439,-2.378049,-0.016907,-1.00592,0.0448,6.977662649957239,89.13673330061249
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006061708483,-0.97561,-4.02439,-2.317073,-0.019348,-0.999573,0.043823,6.965866110372588,88.70425706873186
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006066648483,-0.792683,-3.841464,-2.378049,-0.019104,-1.003418,0.046631,6.954757837955441,88.27275535579696
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006071588483,-0.792683,-3.841464,-2.195122,-0.013672,-0.992859,0.041931,6.941349689317349,87.84131154590011
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006076528483,-0.853659,-3.719512,-2.012195,-0.015686,-0.99231,0.046326,6.92939355357862,87.40969633317945
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006081468483,-0.792683,-3.658537,-1.890244,-0.012085,-0.987,0.040771,6.916182705672838,86.97849890751638
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006086408483,-0.853659,-3.780488,-1.768293,-0.014771,-0.989807,0.044006,6.903508232104002,86.54717489291397
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006091348483,-0.853659,-3.597561,-1.52439,-0.005432,-0.984924,0.039124,6.887734660123613,86.11598730205827
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006096288483,-0.853659,-3.47561,-0.914634,-0.016785,-0.987549,0.043823,6.87767912748248,85.68504952611511
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006101228483,-0.792683,-3.292683,-0.670732,-0.006226,-0.987122,0.03949,6.864021880287339,85.25457441690025
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006106168483,-0.853659,-3.109756,-0.731707,-0.01178,-0.989624,0.043091,6.853651999180954,84.82405836006637
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006111108483,-0.914634,-3.04878,-0.670732,-0.004639,-0.991638,0.037292,6.840503515176806,84.39346885497076
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006116048483,-1.158537,-2.987805,-0.548781,-0.012512,-0.992065,0.044861,6.8311451098160205,83.96197763479427
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006120988483,-1.219512,-3.04878,-0.304878,-0.003479,-0.995361,0.040894,6.817707199609231,83.5304399184023
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006125928483,-1.52439,-3.109756,0.060976,-0.015808,-0.997986,0.044495,6.809522503697963,83.09775189461618
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006130868483,-1.829268,-3.04878,-0.121951,-0.004028,-1.002441,0.039246,6.796470147773533,82.66383416034012
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006135808483,-2.134146,-2.865854,0.121951,-0.015808,-1.001648,0.046631,6.789587978353069,82.22880360082524
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006140748483,-2.073171,-2.987805,0.0,-0.004028,-1.006165,0.042053,6.776987420606218,81.79438278630471
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006145688483,-2.256098,-3.04878,0.060976,-0.014893,-1.001648,0.049194,6.768878680068468,81.35948083510897
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006150628483,-2.195122,-3.170732,0.121951,-0.005249,-0.999268,0.045654,6.7561146427879635,80.92522431681289
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006155568483,-2.378049,-3.231707,0.121951,-0.014526,-0.994995,0.050354,6.747157965083062,80.4905128819164
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006160508483,-2.195122,-3.292683,0.365854,-0.010437,-0.996704,0.047546,6.73637440755067,80.05709340080182
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006165448483,-2.256098,-3.414634,0.426829,-0.015076,-0.996094,0.047302,6.727135998512637,79.62382840512367
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006170388483,-2.256098,-3.414634,0.609756,-0.008972,-0.994385,0.044189,6.715486853203743,79.19096798709802
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006175328483,-2.195122,-3.536585,0.670732,-0.013428,-0.992859,0.044189,6.705336400050641,78.75888519650266
98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,1651661006180268483,-2.195122,-3.597561,0.914634,-0.012634,-0.994141,0.045349,6.694870239194017,78.32726036843007
