index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
353,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198472870470,479.348,478.58,1.0,2.0,,1768.183,2386,427
360,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198504798470,479.793,478.793,1.0,2.0,,1800.111,2387,426
368,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198544712470,479.359,477.438,1.0,2.0,,1840.025,2385,424
374,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198576703470,480.165,475.6,1.0,2.0,,1872.016,2607,203
382,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198616705470,480.364,474.187,1.0,2.0,,1912.018,2606,200
388,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198644681470,480.649,473.658,1.0,2.0,,1939.994,2419,275
396,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198684697470,480.937,472.886,1.0,2.0,,1980.01,2421,273
402,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198716725470,480.794,470.232,1.0,2.0,,2012.038,2424,270
409,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198752714470,489.64,452.079,1.0,,,2048.027,2853,353
414,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198776729470,544.597,432.593,1.0,,,2072.042,1839,145
421,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198812700470,552.044,431.69,1.0,3.0,,2108.013,1847,145
428,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198844714470,554.595,430.868,1.0,3.0,,2140.027,2605,59
434,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198876742470,548.956,432.459,1.0,3.0,,2172.055,2604,60
442,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198916727470,552.293,431.81,1.0,3.0,,2212.04,2606,61
449,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198952704470,562.356,424.299,1.0,3.0,,2248.017,2476,914
454,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775198976727470,567.584,423.467,1.0,3.0,,2272.04,2481,914
461,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199012695470,566.675,420.276,1.0,3.0,,2308.008,2480,911
468,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199044719470,567.99,418.511,1.0,3.0,,2340.032,2481,911
475,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199080690470,569.339,417.2,1.0,3.0,,2376.003,2481,909
481,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199112731470,570.41,416.486,1.0,3.0,,2408.044,2483,909
488,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199144751470,576.327,413.928,1.0,3.0,,2440.064,2622,46
495,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199180696470,584.443,410.229,1.0,3.0,,2476.009,1869,939
502,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199216815470,583.413,409.421,1.0,3.0,,2512.128,1867,937
508,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199248707470,584.945,409.074,1.0,3.0,,2544.02,1872,937
514,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199276733470,584.481,409.977,1.0,3.0,,2572.046,1872,937
521,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199312762470,584.397,409.938,1.0,3.0,,2608.075,1873,936
528,b039bef1-92a5-45d2-a73e-05e1758c0c8c,90bcfb34-bdf6-4f33-82e1-f0a94bd0d6b4,1649775199348679470,585.627,409.698,1.0,3.0,,2643.992,1876,935
