index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,ref_center_x,ref_center_y
541,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,2707.067,511.453,415.699,1.0,5.0,,487,416
548,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,2743.068,511.616,414.54,1.0,5.0,,489,415
555,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,2779.05,514.321,414.117,1.0,5.0,,491,413
562,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,2811.042,517.757,413.824,1.0,5.0,,495,413
566,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,2840.189,518.908,413.707,1.0,5.0,,497,413
574,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,2879.909,520.052,411.936,1.0,5.0,,498,411
580,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,2907.948,520.907,412.237,1.0,5.0,,499,412
587,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,2943.942,520.489,412.037,1.0,5.0,,499,411
594,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,2979.914,523.644,413.621,1.0,5.0,,503,413
599,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,3003.957,525.023,418.361,1.0,5.0,,504,417
607,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,3043.962,530.249,425.021,1.0,5.0,,509,424
613,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,3071.945,531.977,423.502,1.0,5.0,,511,424
621,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,3111.962,533.805,421.968,1.0,5.0,,513,422
626,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,3139.948,533.503,421.013,1.0,5.0,,512,420
633,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,3171.949,533.83,420.474,1.0,5.0,,512,418
640,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,3207.954,509.839,408.094,1.0,,,488,405
647,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,3243.926,508.973,387.215,1.0,6.0,,487,383
654,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,3279.95,510.192,380.293,1.0,6.0,,488,375
659,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,3304.012,511.302,383.061,1.0,6.0,,489,379
