section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383029224234,0.853659,-0.243902,-1.036585,-0.136536,-0.983887,-0.047424,7.057580908206603,89.5804605190304
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383034164234,1.280488,-0.487805,-1.158537,-0.133972,-0.980042,-0.045227,7.113045489914441,89.16292711643274
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383039104234,1.402439,-0.609756,-0.97561,-0.134338,-0.979797,-0.043457,7.168039798092451,88.74605961734198
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383044044234,1.402439,-0.731707,-0.731707,-0.133118,-0.983826,-0.046387,7.221660273545552,88.32915412934432
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383048984234,1.402439,-1.219512,-0.853659,-0.134155,-0.982361,-0.047485,7.273325908276689,87.91239905468666
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383053924234,1.585366,-1.402439,-0.609756,-0.131165,-0.979919,-0.049744,7.322951025058842,87.49650294437475
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383058864234,1.463415,-1.463415,-0.304878,-0.1297,-0.980957,-0.053284,7.371612262100399,87.0800450155528
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383063804234,1.158537,-1.646341,-0.243902,-0.130798,-0.986145,-0.05304,7.419513874383853,86.66224895939382
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383068744234,0.853659,-1.707317,-0.609756,-0.131653,-0.990601,-0.054688,7.467063532227542,86.24310956189134
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383073684234,0.670732,-1.95122,-0.914634,-0.133606,-0.9823,-0.054932,7.514530872795234,85.82340662848617
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383078624234,0.304878,-2.012195,-0.97561,-0.131165,-0.981812,-0.05072,7.5605906149387465,85.401955915043
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383083564234,-0.060976,-2.073171,-0.670732,-0.127502,-0.983887,-0.054138,7.604725516428999,84.97871005575888
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383088504234,-0.426829,-2.073171,-0.731707,-0.134644,-0.975403,-0.058838,7.652253057104019,84.55435339220446
