index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
649,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112040216654737,588.916,756.585,1.0,5.0,,3251.906,565,757
655,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112040244666737,583.752,756.688,1.0,5.0,,3279.918,559,758
662,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112040280661737,583.912,758.449,1.0,5.0,,3315.913,559,759
670,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112040320659737,591.011,758.912,1.0,5.0,,3355.911,567,760
676,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112040348670737,592.396,760.565,1.0,5.0,,3383.922,568,762
682,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112040380606737,594.256,760.49,1.0,5.0,,3415.858,570,761
689,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112040416691737,595.471,760.216,1.0,5.0,,3451.943,571,761
696,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112040448746737,593.225,760.16,1.0,5.0,,3483.998,569,761
702,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112040480648737,597.087,760.438,1.0,5.0,,3515.9,573,761
709,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112040516830737,603.773,761.36,1.0,5.0,,3552.082,580,762
715,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112040544666737,603.249,764.551,1.0,5.0,,3579.918,579,766
721,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112040576606737,603.7,767.027,1.0,5.0,,3611.858,580,768
729,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112040616747737,604.695,766.364,1.0,5.0,,3651.999,581,767
735,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112040644657737,607.754,767.252,1.0,5.0,,3679.909,584,768
