section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px]
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,1,1649770182997347972,1649770183481149972,483,747.219,383.046
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,2,1649770183561171972,1649770183721160972,159,389.112,632.743
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,3,1649770183765127972,1649770184353182972,588,247.467,611.722
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,4,1649770184397119972,1649770184993121972,596,226.222,867.668
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,5,1649770185033153972,1649770185273160972,240,321.113,725.087
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,6,1649770185309138972,1649770185437169972,128,331.366,644.35
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,7,1649770185469140972,1649770186369134972,899,258.451,600.831
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,8,1649770186389128972,1649770186765154972,376,246.341,629.72
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,9,1649770186889135972,1649770187277090972,387,293.081,668.643
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,10,1649770187301216972,1649770188357127972,1055,216.56,632.483
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,11,1649770188433138972,1649770189053139972,620,638.352,612.248
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,12,1649770189109110972,1649770189469135972,360,648.36,415.527
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,13,1649770189501200972,1649770189885165972,383,567.27,429.454
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,14,1649770189901135972,1649770190525165972,624,630.063,398.143
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,15,1649770190557149972,1649770190905157972,348,743.593,369.08
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,16,1649770190909161972,1649770191417130972,507,736.267,317.179
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,17,1649770191473262972,1649770191641154972,167,791.654,540.288
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,18,1649770191657153972,1649770191849144972,191,756.166,549.335
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,19,1649770191889146972,1649770192301132972,411,855.581,668.152
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,20,1649770192341739972,1649770192865307972,523,821.449,798.101
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,21,1649770192877143972,1649770193425135972,547,841.871,692.172
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,22,1649770193533158972,1649770194077136972,543,815.368,715.392
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,23,1649770194109162972,1649770194497122972,387,777.333,590.717
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,24,1649770194649138972,1649770195045130972,395,734.924,567.878
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,25,1649770195245161972,1649770196097127972,851,647.153,531.245
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,26,1649770196121121972,1649770197921144972,1800,664.071,545.711
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,27,1649770197937123972,1649770198301181972,364,688.161,485.817
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,28,1649770198317158972,1649770199237136972,919,738.164,463.389
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,29,1649770199261153972,1649770201253168972,1992,713.128,379.609
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,30,1649770201293182972,1649770202545152972,1251,594.307,424.652
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,31,1649770202573120972,1649770203377142972,804,544.521,442.406
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,32,1649770203413125972,1649770204145153972,732,641.766,524.679
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,33,1649770204325136972,1649770204505410972,180,571.226,542.294
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,34,1649770204537136972,1649770204821145972,284,505.802,575.246
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,35,1649770204833152972,1649770205617137972,783,478.377,589.96
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,36,1649770205889102972,1649770207077216972,1188,273.678,595.407
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,37,1649770207085178972,1649770207549146972,463,257.148,574.365
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,38,1649770207569135972,1649770207809175972,240,249.691,615.44
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,39,1649770207817173972,1649770208625162972,807,222.833,596.708
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,40,1649770208641160972,1649770208813124972,171,282.488,574.396
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,41,1649770208861137972,1649770209169146972,308,450.843,558.657
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,42,1649770209201135972,1649770209641139972,440,562.852,576.641
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,43,1649770209701147972,1649770209877156972,176,749.795,675.647
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,44,1649770209889136972,1649770210261173972,372,808.476,698.96
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,45,1649770210285155972,1649770210701235972,416,815.065,791.402
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,46,1649770210741130972,1649770210961163972,220,681.563,783.878
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,47,1649770211029139972,1649770211181157972,152,361.077,803.832
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,48,1649770211213126972,1649770211797164972,584,199.235,850.024
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,49,1649770211837153972,1649770212009136972,171,278.923,803.76
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,50,1649770212045136972,1649770212265140972,220,379.027,759.922
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,51,1649770212285170972,1649770212549570972,264,423.538,782.979
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,52,1649770212609122972,1649770212833162972,224,661.672,723.063
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,53,1649770212889213972,1649770213377126972,487,829.591,660.643
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,54,1649770213421129972,1649770213861126972,439,811.512,529.7
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,55,1649770213877135972,1649770215421144972,1544,792.815,460.674
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,56,1649770215449137972,1649770216185174972,736,761.644,461.633
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,57,1649770216197206972,1649770216445101972,247,728.28,494.93
5ab85ad7-36b0-4f02-914f-a7550d1af27c,16ec46fe-5f01-4f19-ba6b-12a646dc1271,58,1649770216469150972,1649770217217122972,747,667.079,509.462
