section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463101856290772,1.707317,1.95122,1.52439,-0.09314,-0.977539,-0.175354,7.0502442548103375,89.58255145025834,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463101861230772,1.646341,2.012195,1.341463,-0.091064,-0.976929,-0.178223,7.099972326059401,89.1647483569057,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463101866170772,1.463415,2.012195,1.219512,-0.090088,-0.974121,-0.17572,7.149430949216736,88.74606222191176,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463101871110772,1.646341,2.012195,0.97561,-0.096741,-0.975037,-0.170044,7.201729384091891,88.32861866374162,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463101876050772,1.585366,1.829268,0.914634,-0.091675,-0.975891,-0.168518,7.250924020340108,87.91074899063835,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463101880990772,1.402439,1.646341,0.731707,-0.090393,-0.977417,-0.166016,7.298583278151938,87.4920241479283,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463101885930772,1.341463,1.463415,0.670732,-0.094727,-0.975403,-0.168518,7.347272010428384,87.0733092853352,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463101890870772,1.52439,1.280488,0.548781,-0.095703,-0.976196,-0.168518,7.395406143435508,86.65567876575295,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463101895810772,1.585366,1.158537,0.243902,-0.093933,-0.975098,-0.170715,7.442120607073093,86.23843356981678,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463101900750772,1.585366,1.097561,0.487805,-0.089355,-0.973206,-0.168701,7.48670154070723,85.82120120032505,,,,,
