index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg],heatmap_ts,ref_center_x,ref_center_y
244,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102191102772,640.058,414.528,1.0,3.0,,7.770055337888277,11.401426071435798,1224.035,2144,93
252,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102231169772,638.486,418.978,1.0,3.0,,7.643740841199883,11.06733987964481,1264.102,2659,141
259,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102263119772,641.128,402.411,1.0,3.0,,7.869764327191486,12.313040445732648,1296.052,3087,178
266,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102299153772,655.829,400.727,1.0,,,8.999854357945242,12.42836202736379,1332.086,1549,341
273,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102335145772,661.271,365.23,1.0,4.0,,9.491252452070755,15.093813708638834,1368.078,2345,168
278,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102359135772,656.078,379.114,1.0,4.0,,9.060332205020678,14.054294002934608,1392.068,1231,434
286,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102399342772,657.791,377.099,1.0,4.0,,9.196543869458026,14.20429237710232,1432.275,1231,431
293,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102435143772,659.79,374.495,1.0,4.0,,9.356172236427952,14.398226098524235,1468.076,2287,311
299,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102463161772,657.604,382.637,1.0,4.0,,9.17066118804529,13.787742602136642,1496.094,3047,396
305,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102495145772,629.627,388.194,1.0,4.0,,7.008365028239745,13.392242769215768,1528.078,3037,60
312,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102531172772,640.898,378.658,1.0,4.0,,7.891541784630212,14.102120824459847,1564.105,143,800
318,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102559190772,639.505,378.038,1.0,4.0,,7.785275078596091,14.149988218470304,1592.123,141,800
324,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102591060772,638.026,375.395,1.0,,,7.675929015249579,14.350276520297689,1623.993,137,799
331,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102627344772,668.518,383.213,1.0,5.0,,10.009622765908642,13.733752765483969,1660.277,1701,700
337,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102655053772,667.906,381.187,1.0,5.0,,9.966977022082729,13.886646768604596,1687.986,3046,398
344,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102691120772,671.069,384.202,1.0,5.0,,10.203754968961324,13.656800546251525,1724.053,1702,703
352,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102731075772,668.336,382.849,1.0,,,9.99639524418988,13.761266299304154,1764.008,1700,703
359,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102767106772,672.612,354.145,1.0,6.0,,10.396795795110416,15.91467108263694,1800.039,2554,332
365,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102795111772,683.605,362.846,1.0,6.0,,11.2242103506519,15.247072529085877,1828.044,709,738
374,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102839148772,687.794,368.427,1.0,6.0,,11.53248914803008,14.822679558421616,1872.081,2568,346
379,6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463102867058772,681.89,371.156,1.0,6.0,,11.069313565652584,14.62495583095872,1899.991,2560,348
