name,"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(center_x,center_y)"
m face,"(689, 454)","(749, 352)","(689, 352)","(749, 454)","(719, 403)"
f face,"(546, 483)","(620, 368)","(546, 368)","(620, 483)","(583, 425)"
m r hand,"(502, 499)","(559, 440)","(502, 440)","(559, 499)","(530, 469)"
m l hand,"(651, 609)","(742, 580)","(651, 580)","(742, 609)","(696, 594)"
f r hand,"(588, 595)","(676, 544)","(588, 544)","(676, 595)","(632, 569)"
f l hand,"(619, 651)","(685, 593)","(619, 593)","(685, 651)","(652, 622)"
m chest,"(627, 575)","(799, 458)","(627, 458)","(799, 575)","(713, 516)"
f chest,"(493, 596)","(657, 502)","(493, 502)","(657, 596)","(575, 549)"
m feet,"(94, 666)","(212, 619)","(94, 619)","(212, 666)","(153, 642)"
f feet,"(42, 741)","(149, 646)","(42, 646)","(149, 741)","(95, 693)"
crack,"(430, 906)","(484, 619)","(430, 619)","(484, 906)","(457, 762)"
r base,"(492, 956)","(879, 733)","(492, 733)","(879, 956)","(685, 844)"
l base,"(65, 1013)","(424, 743)","(65, 743)","(424, 1013)","(244, 878)"
lights,"(6, 268)","(202, 30)","(6, 30)","(202, 268)","(104, 149)"
lights,"(634, 301)","(1034, 20)","(634, 20)","(1034, 301)","(834, 160)"
bg,"(242, 579)","(599, 265)","(242, 265)","(599, 579)","(420, 422)"
