index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
0,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992451211329,837.619,422.243,1.0,1.0,,0.0,1,25
9,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992499224329,838.436,430.627,1.0,1.0,,48.013,1,25
20,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992551324329,786.666,439.742,1.0,,,100.113,1,25
30,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992603312329,648.828,426.077,1.0,2.0,,152.101,1,25
40,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992651195329,656.812,413.963,1.0,2.0,,199.984,1,25
49,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992699242329,649.145,413.4,1.0,2.0,,248.031,1,25
60,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992751259329,641.69,423.081,1.0,2.0,,300.048,1,25
69,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992799279329,605.561,437.733,1.0,3.0,,348.068,1,25
80,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992851113329,594.911,444.303,1.0,3.0,,399.902,1,25
89,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992899247329,599.519,444.715,1.0,3.0,,448.036,1,25
100,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992951109329,593.469,443.006,1.0,3.0,,499.898,1,25
109,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992999223329,595.227,442.488,1.0,3.0,,548.012,1,25
120,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993051253329,593.459,439.675,1.0,3.0,,600.042,1,25
130,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993103126329,575.502,412.62,1.0,4.0,,651.915,1,25
139,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993147346329,571.761,399.552,1.0,4.0,,696.135,1,25
149,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993199133329,575.816,402.744,1.0,4.0,,747.922,1,25
159,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993247227329,580.028,400.083,1.0,4.0,,796.016,1,25
169,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993299279329,580.219,395.007,1.0,4.0,,848.068,1,25
180,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993355154329,579.62,396.988,1.0,4.0,,903.943,1,25
190,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993403181329,572.79,395.11,1.0,4.0,,951.97,1,25
199,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993447298329,570.48,394.424,1.0,4.0,,996.087,1,25
209,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993499242329,563.422,394.608,1.0,4.0,,1048.031,1,25
220,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993555068329,565.502,398.731,1.0,4.0,,1103.857,1,25
230,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993603199329,568.776,399.677,1.0,4.0,,1151.988,1,25
239,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993647167329,565.9,397.509,1.0,4.0,,1195.956,491,376
245,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993679145329,564.318,391.5,1.0,4.0,,1227.934,489,371
252,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115993715203329,559.142,391.225,1.0,4.0,,1263.992,484,370
