,index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,timestamp [ns]_for_grouping,ref_center_x,ref_center_y,ref_coordinates,tag
0,538,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,2691.644,632.484,397.766,1.0,8.0,,1634117191542357265,611,398,"(611, 398)",f face
1,544,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,2723.654,629.523,395.77,1.0,8.0,,1634117191574367265,612,396,"(612, 396)",f face
2,551,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,2759.676,621.148,391.571,1.0,8.0,,1634117191610389265,606,392,"(606, 392)",f face
3,557,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,2787.675,623.626,389.002,1.0,8.0,,1634117191638388265,612,390,"(612, 390)",f face
4,565,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,2827.664,629.233,392.361,1.0,8.0,,1634117191678377265,620,393,"(620, 393)",f face
5,571,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,2859.68,625.054,392.939,1.0,8.0,,1634117191710393265,619,394,"(619, 394)",f face
6,578,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,2891.636,626.957,393.509,1.0,8.0,,1634117191742349265,623,394,"(623, 394)",f face
7,584,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,2923.674,621.851,388.21,1.0,8.0,,1634117191774387265,621,388,"(621, 388)",f face
8,591,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,2959.659,627.063,384.96,1.0,8.0,,1634117191810372265,627,385,"(627, 385)",f face
9,598,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,2991.644,624.198,386.157,1.0,8.0,,1634117191842357265,626,385,"(626, 385)",f face
10,605,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3027.637,625.319,386.697,1.0,8.0,,1634117191878350265,628,386,"(628, 386)",f face
11,610,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3051.644,626.685,387.354,1.0,8.0,,1634117191902357265,630,386,"(630, 386)",f face
12,618,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3091.874,626.807,390.283,1.0,8.0,,1634117191942587265,631,389,"(631, 389)",f face
13,625,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3127.602,627.322,392.206,1.0,8.0,,1634117191978315265,633,390,"(633, 390)",noise
14,631,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3159.717,623.409,388.973,1.0,8.0,,1634117192010430265,630,387,"(630, 387)",f face
15,637,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3187.823,622.191,387.434,1.0,8.0,,1634117192038536265,631,384,"(631, 384)",f face
16,645,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3227.664,571.789,422.717,1.0,,,1634117192078377265,582,420,"(582, 420)",f face
17,652,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3263.621,577.178,426.792,1.0,9.0,,1634117192114334265,589,423,"(589, 423)",f face
18,658,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3291.639,581.102,426.56,1.0,9.0,,1634117192142352265,595,423,"(595, 423)",f face
19,665,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3327.657,580.004,423.505,1.0,9.0,,1634117192178370265,597,420,"(597, 420)",f face
20,670,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3351.638,579.796,420.62,1.0,9.0,,1634117192202351265,599,418,"(599, 418)",f face
21,677,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3387.665,580.879,423.658,1.0,9.0,,1634117192238378265,602,421,"(602, 421)",f face
22,685,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3427.653,581.647,426.211,1.0,9.0,,1634117192278366265,605,423,"(605, 423)",f face
23,691,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3459.648,577.458,425.85,1.0,9.0,,1634117192310361265,602,423,"(602, 423)",f face
24,697,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3487.932,577.64,424.944,1.0,9.0,,1634117192338645265,604,422,"(604, 422)",f face
25,705,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3527.644,580.329,429.509,1.0,9.0,,1634117192378357265,607,427,"(607, 427)",f face
26,711,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3559.689,577.507,411.703,1.0,9.0,,1634117192410402265,606,409,"(606, 409)",f face
27,717,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3587.719,573.999,413.236,1.0,9.0,,1634117192438432265,602,410,"(602, 410)",f face
28,725,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3627.662,568.762,407.803,1.0,9.0,,1634117192478375265,597,406,"(597, 406)",f face
29,730,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3655.663,567.919,401.967,1.0,9.0,,1634117192506376265,597,400,"(597, 400)",f face
30,737,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3687.647,568.511,400.305,1.0,9.0,,1634117192538360265,599,399,"(599, 399)",f face
31,745,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3727.666,568.493,398.219,1.0,9.0,,1634117192578379265,598,398,"(598, 398)",f face
32,751,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3759.664,566.826,398.904,1.0,9.0,,1634117192610377265,598,401,"(598, 401)",f face
33,758,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3795.639,564.648,395.324,1.0,9.0,,1634117192646352265,597,397,"(597, 397)",f face
34,765,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3827.652,564.043,398.745,1.0,9.0,,1634117192678365265,598,399,"(598, 399)",f face
35,771,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3859.649,564.811,408.768,1.0,9.0,,1634117192710362265,599,408,"(599, 408)",f face
36,778,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3895.656,559.473,406.609,1.0,9.0,,1634117192746369265,593,406,"(593, 406)",f face
37,784,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3923.637,559.007,397.786,1.0,9.0,,1634117192774350265,594,397,"(594, 397)",f face
38,790,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3955.651,549.877,393.307,1.0,9.0,,1634117192806364265,586,393,"(586, 393)",f face
39,797,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,3987.641,547.715,392.22,1.0,9.0,,1634117192838354265,584,393,"(584, 393)",f face
40,805,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,4027.641,553.476,393.613,1.0,9.0,,1634117192878354265,589,396,"(589, 396)",f face
41,810,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,4056.049,553.451,396.195,1.0,9.0,,1634117192906762265,589,398,"(589, 398)",f face
