index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg],heatmap_ts,ref_center_x,ref_center_y
253,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498486355253,682.167,577.778,1.0,2.0,,10.841845092961028,-0.8787841613923718,1264.017,2201,836
258,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498510334253,682.978,593.907,1.0,,,10.906470341907434,-2.087763019728288,1287.996,2005,697
264,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498538371253,662.6,602.549,1.0,,,9.3712945933737,-2.740454258806998,1316.033,2692,1403
270,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498570407253,647.232,602.029,1.0,3.0,,8.21092563581931,-2.704716127668845,1348.069,2437,1083
277,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498606349253,647.483,607.252,1.0,3.0,,8.231603542266635,-3.09715962772642,1384.011,2643,1379
286,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498650375253,619.256,614.265,1.0,,,6.102021578765768,-3.63049140226088,1428.037,2471,1170
292,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498682386253,442.568,610.032,1.0,,,-7.246813351687417,-3.309138972473129,1460.048,2147,1347
300,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498722419253,437.253,620.459,1.0,4.0,,-7.652569319506972,-4.091904421304934,1500.081,2204,1025
305,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498747008253,450.794,614.48,1.0,4.0,,-6.626900669648627,-3.64547229988936,1524.67,2185,1232
311,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498782372253,466.06,608.477,1.0,4.0,,-5.471790992836804,-3.196371728829277,1560.034,2214,1165
318,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498814339253,443.807,610.16,1.0,,,-7.153265949136584,-3.31906174194902,1592.001,2150,1343
