,seconds ,point x ,point y ,point z ,pupil diameter,flag
0,0.0,49.58,-15.72,52.9,0.0,-
1,0.01,49.64,-15.72,53.01,0.0,gaze started: White.fbx
2,0.02,49.71,-15.72,53.14,0.0,-
3,0.03,49.75,-15.72,53.23,0.0,-
4,0.04,49.76,-15.72,53.32,0.0,-
5,0.05,49.73,-15.72,53.36,0.0,-
6,0.06,49.71,-15.72,53.44,0.0,-
7,0.07,49.68,-15.72,53.5,0.0,-
8,0.08,49.64,-15.72,53.52,0.0,-
9,0.1,49.59,-15.72,53.54,0.0,-
10,0.11,49.55,-15.72,53.55,0.0,-
11,0.12,49.51,-15.72,53.55,0.0,-
12,0.13,49.47,-15.72,53.54,0.0,-
13,0.14,49.48,-15.72,53.58,0.0,-
14,0.15,49.49,-15.72,53.63,0.0,-
15,0.16,49.51,-15.72,53.65,0.0,-
16,0.17,49.55,-15.72,53.71,0.0,-
17,0.18,49.6,-15.72,53.76,0.0,-
18,0.2,49.62,-15.72,53.8,0.0,-
19,0.21,49.62,-15.72,53.84,0.0,-
20,0.22,49.67,-15.72,53.9,0.0,-
21,0.23,49.68,-15.72,53.93,0.0,-
22,0.24,49.72,-15.72,53.99,0.0,-
23,0.25,49.77,-15.72,54.08,0.0,-
24,0.26,49.84,-15.72,54.19,0.0,-
25,0.27,49.92,-15.72,54.31,0.0,-
26,0.28,49.99,-15.72,54.42,0.0,-
27,0.3,50.02,-15.72,54.51,0.0,-
28,0.31,50.09,-15.72,54.64,0.0,-
29,0.32,50.13,-15.72,54.75,0.0,-
30,0.33,50.16,-15.72,54.84,0.0,-
31,0.34,50.12,-15.72,54.87,0.0,-
32,0.35,50.1,-15.72,54.92,0.0,-
33,0.36,50.03,-15.72,54.91,0.0,-
34,0.37,49.99,-15.72,54.93,0.0,-
35,0.38,50.01,-15.72,55.02,0.0,-
36,0.4,50.0,-15.72,55.08,0.0,-
37,0.41,50.04,-15.72,55.18,0.0,-
38,0.42,50.1,-15.72,55.3,0.0,-
39,0.43,50.18,-15.72,55.42,0.0,-
40,0.44,50.23,-15.72,55.51,0.0,-
41,0.45,50.22,-15.72,55.54,0.0,-
42,0.46,50.26,-15.72,55.6,0.0,-
43,0.47,50.26,-15.72,55.64,0.0,-
44,0.49,50.29,-15.72,55.69,0.0,-
45,0.5,50.32,-15.72,55.74,0.0,-
46,0.51,50.35,-15.72,55.77,0.0,-
47,0.52,50.39,-15.72,55.81,0.0,gaze fixated: White.fbx
48,0.53,50.4,-15.72,55.8,0.0,-
49,0.54,50.4,-15.72,55.78,0.0,-
50,0.55,50.37,-15.72,55.73,0.0,-
51,0.57,50.33,-15.72,55.67,0.0,-
52,0.58,50.23,-15.72,55.53,0.0,-
53,0.59,50.13,-15.72,55.42,0.0,-
54,0.6,50.0,-15.72,55.26,0.0,-
55,0.61,49.84,-15.72,55.09,0.0,-
56,0.62,49.66,-15.72,54.9,0.0,-
57,0.63,49.44,-15.72,54.66,0.0,-
