index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,ref_center_x,ref_center_y
582,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2939.309,606.297,371.578,1.0,10.0,,582,372
591,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2983.381,622.193,368.03,1.0,10.0,,598,367
597,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3015.76,587.289,359.858,1.0,11.0,,563,359
604,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3051.376,598.201,361.98,1.0,11.0,,574,361
611,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3083.415,630.254,346.717,1.0,11.0,,606,346
616,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3111.353,624.963,353.801,1.0,11.0,,601,353
628,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3171.455,607.812,361.546,1.0,11.0,,585,363
636,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3211.397,586.54,363.399,1.0,11.0,,563,365
645,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3255.363,591.283,366.805,1.0,11.0,,566,372
652,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3291.356,605.766,368.195,1.0,11.0,,581,374
655,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3315.485,595.112,363.881,1.0,11.0,,570,371
661,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3343.414,625.743,385.17,1.0,12.0,,601,392
669,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3383.414,622.902,368.799,1.0,12.0,,597,376
