index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,ref_x_pixel,ref_y_pixel
351,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1774.617,673.261,393.573,1.0,,,674,673
359,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1819.405,627.928,425.398,1.0,,,629,628
364,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1843.431,574.758,440.369,1.0,,,575,575
371,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1879.35,485.108,437.622,1.0,,,485,485
381,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1927.335,621.783,418.063,1.0,,,622,620
385,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1947.39,626.731,392.431,1.0,,,627,623
394,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1995.507,645.111,390.738,1.0,,,645,642
398,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2019.067,665.37,380.255,1.0,,,663,663
405,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2047.374,613.519,370.858,1.0,6.0,,613,609
413,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2087.406,607.646,365.217,1.0,6.0,,608,603
418,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2115.353,616.574,367.24,1.0,6.0,,620,612
426,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2155.676,615.556,372.072,1.0,6.0,,616,612
432,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2183.451,614.784,371.839,1.0,6.0,,616,613
438,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2215.376,622.121,384.02,1.0,6.0,,759,805
446,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2255.399,616.008,374.789,1.0,6.0,,621,617
452,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2283.362,613.181,367.605,1.0,6.0,,618,614
458,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2319.406,622.656,374.05,1.0,6.0,,656,970
465,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2355.352,613.435,374.714,1.0,6.0,,618,615
469,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2375.356,610.302,374.735,1.0,6.0,,613,612
480,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2427.378,577.425,368.168,1.0,7.0,,580,579
483,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2443.367,586.939,373.412,1.0,7.0,,592,587
493,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2495.398,589.038,383.015,1.0,7.0,,593,588
497,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2515.342,582.505,390.956,1.0,,,587,580
506,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2559.389,647.291,442.737,1.0,8.0,,652,642
509,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2575.389,642.981,433.577,1.0,8.0,,647,637
516,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2607.44,649.96,423.881,1.0,8.0,,652,643
524,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2647.42,639.319,405.521,1.0,8.0,,639,631
535,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2703.446,629.871,405.144,1.0,8.0,,543,357
537,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2715.413,633.421,404.233,1.0,8.0,,885,912
542,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2739.373,602.871,400.26,1.0,,,603,593
550,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2779.349,599.71,381.385,1.0,9.0,,599,590
557,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2815.374,603.238,370.656,1.0,,,602,593
564,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2851.364,631.577,368.488,1.0,,,633,618
570,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2879.384,598.883,372.147,1.0,10.0,,597,590
577,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2915.438,614.942,371.501,1.0,10.0,,612,606
582,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2939.309,606.297,371.578,1.0,10.0,,604,596
591,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2983.381,622.193,368.03,1.0,10.0,,620,612
597,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3015.76,587.289,359.858,1.0,11.0,,584,577
604,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3051.376,598.201,361.98,1.0,11.0,,595,588
611,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3083.415,630.254,346.717,1.0,11.0,,624,983
616,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3111.353,624.963,353.801,1.0,11.0,,624,615
628,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3171.455,607.812,361.546,1.0,11.0,,606,600
636,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3211.397,586.54,363.399,1.0,11.0,,584,581
645,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3255.363,591.283,366.805,1.0,11.0,,588,587
652,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3291.356,605.766,368.195,1.0,11.0,,604,603
655,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3315.485,595.112,363.881,1.0,11.0,,593,592
661,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3343.414,625.743,385.17,1.0,12.0,,296,1004
669,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3383.414,622.902,368.799,1.0,12.0,,529,961
675,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3415.339,606.446,362.883,1.0,12.0,,603,604
681,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3447.345,601.195,364.708,1.0,12.0,,599,598
690,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3491.348,596.039,366.624,1.0,12.0,,594,593
694,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3511.371,583.082,367.374,1.0,12.0,,582,579
701,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3547.365,607.663,364.38,1.0,12.0,,605,606
708,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3579.365,612.635,367.822,1.0,,,611,611
715,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3615.357,565.873,368.709,1.0,13.0,,563,564
722,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3651.388,583.604,369.166,1.0,13.0,,583,581
729,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3687.38,577.936,378.486,1.0,13.0,,582,570
735,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3715.369,568.469,376.335,1.0,13.0,,564,567
741,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3747.393,570.018,370.456,1.0,13.0,,566,569
749,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3787.417,595.599,367.426,1.0,13.0,,594,594
754,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3811.318,598.537,361.396,1.0,13.0,,597,597
762,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3851.411,602.385,365.688,1.0,13.0,,600,600
769,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3887.453,623.381,364.238,1.0,13.0,,623,619
775,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3915.392,632.616,367.316,1.0,13.0,,633,630
780,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3939.411,634.271,369.743,1.0,13.0,,634,631
790,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3991.351,629.148,379.691,1.0,13.0,,952,341
794,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4011.351,629.089,377.146,1.0,13.0,,952,341
801,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4047.366,628.87,376.8,1.0,13.0,,627,623
808,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4079.379,632.506,388.03,1.0,13.0,,633,628
814,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4111.456,607.681,388.96,1.0,,,607,602
822,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4151.402,588.593,383.922,1.0,,,587,583
828,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4183.382,609.933,385.899,1.0,14.0,,607,604
836,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4223.418,589.736,389.661,1.0,14.0,,587,583
840,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4243.388,589.444,387.268,1.0,14.0,,587,580
849,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4287.39,614.259,385.4,1.0,14.0,,610,605
854,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4315.454,621.812,397.221,1.0,14.0,,620,611
862,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4355.342,576.328,390.873,1.0,,,573,564
867,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4383.395,615.75,392.018,1.0,,,613,603
874,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4415.401,574.052,391.703,1.0,,,568,562
879,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4443.402,565.775,377.385,1.0,15.0,,562,553
886,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,4475.384,582.534,379.298,1.0,15.0,,580,568
