index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
399,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663933869413648,587.136,337.472,1.0,,,1996.035,747,396
405,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663933901418648,485.056,368.411,1.0,,,2028.04,617,442
412,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663933933398648,481.079,374.381,1.0,7.0,,2060.02,603,426
419,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663933969561648,480.875,374.79,1.0,7.0,,2096.183,591,433
427,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934009387648,476.824,375.156,1.0,7.0,,2136.009,585,446
431,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934029415648,474.125,377.475,1.0,7.0,,2156.037,576,430
438,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934065451648,475.014,376.067,1.0,7.0,,2192.073,581,420
445,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934101424648,473.979,377.744,1.0,7.0,,2228.046,568,466
452,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934133429648,469.771,382.032,1.0,,,2260.051,558,459
458,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934165682648,452.584,446.093,1.0,,,2292.304,526,537
465,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934201450648,451.878,487.205,1.0,8.0,,2328.072,526,620
471,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934229441648,456.711,491.216,1.0,8.0,,2356.063,510,598
480,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934277452648,462.981,482.087,1.0,8.0,,2404.074,527,601
487,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934309418648,465.153,480.714,1.0,8.0,,2436.04,533,634
493,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934341411648,466.443,481.548,1.0,8.0,,2468.033,514,611
500,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934377405648,463.419,490.717,1.0,8.0,,2504.027,511,626
