index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
428,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111778752124294,238.295,574.952,1.0,4.0,,2140.11,825,986
433,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111778780101294,244.441,575.944,1.0,4.0,,2168.087,826,971
440,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111778812130294,249.414,575.904,1.0,4.0,,2200.116,831,970
448,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111778852081294,255.188,576.673,1.0,4.0,,2240.067,491,1044
455,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111778888111294,256.736,575.581,1.0,4.0,,2276.097,454,1012
461,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111778920087294,258.883,577.912,1.0,4.0,,2308.073,496,1043
469,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111778960101294,256.981,576.943,1.0,4.0,,2348.087,454,1012
475,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111778988094294,247.05,576.563,1.0,4.0,,2376.08,832,967
483,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779028099294,234.631,577.471,1.0,4.0,,2416.085,822,967
489,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779060077294,236.404,576.374,1.0,4.0,,2448.063,824,965
495,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779088103294,234.573,574.294,1.0,4.0,,2476.089,824,964
500,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779112117294,234.1,575.043,1.0,4.0,,2500.103,824,965
508,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779156126294,243.135,575.792,1.0,,,2544.112,831,965
515,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779188085294,354.232,573.261,1.0,,,2576.071,158,692
520,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779216102294,359.248,591.301,1.0,,,2604.088,168,718
528,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779256083294,382.264,604.638,1.0,5.0,,2644.069,196,734
535,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779288120294,367.698,603.725,1.0,5.0,,2676.106,179,731
541,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779320112294,366.811,600.767,1.0,5.0,,2708.098,178,727
547,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779348090294,365.746,598.823,1.0,5.0,,2736.076,179,725
555,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779388113294,401.273,604.0,1.0,,,2776.099,218,732
561,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779420200294,475.034,602.155,1.0,6.0,,2808.186,301,732
568,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779456114294,470.031,599.47,1.0,6.0,,2844.1,297,728
575,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779488102294,468.595,595.349,1.0,6.0,,2876.088,294,724
581,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779520098294,466.237,595.214,1.0,6.0,,2908.084,291,724
588,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779556180294,467.739,594.17,1.0,6.0,,2944.166,293,723
595,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779588108294,474.04,599.501,1.0,6.0,,2976.094,301,728
602,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779624104294,467.337,593.401,1.0,6.0,,3012.09,292,722
607,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779648133294,467.975,588.009,1.0,6.0,,3036.119,296,716
615,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779688153294,495.532,585.144,1.0,,,3076.139,324,714
621,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779720083294,596.776,587.936,1.0,,,3108.069,433,719
628,aa443859-cdb7-4175-a126-38a60e4b70ab,ae812ec9-006b-4cb0-a89b-f5e9c6cb3107,1634111779756151294,630.37,586.734,1.0,7.0,,3144.137,469,719
