index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
0,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112036964748737,635.253,684.829,1.0,1.0,,0.0,1,25
10,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037016548737,638.448,679.384,1.0,1.0,,51.8,1,25
20,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037064594737,623.301,670.023,1.0,1.0,,99.846,1,25
30,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037116658737,682.799,653.459,1.0,,,151.91,1,25
40,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037164676737,858.227,610.743,1.0,,,199.928,1,25
50,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037216691737,849.96,581.45,1.0,2.0,,251.943,1,25
60,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037264708737,851.841,562.139,1.0,2.0,,299.96,1,25
69,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037312704737,853.856,557.54,1.0,2.0,,347.956,1,25
80,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037364732737,839.152,564.563,1.0,,,399.984,1,25
90,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037416736737,772.829,582.582,1.0,3.0,,451.988,1,25
100,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037464698737,760.245,586.602,1.0,3.0,,499.95,1,25
109,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037512728737,762.621,590.097,1.0,3.0,,547.98,1,25
120,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037564815737,763.836,586.779,1.0,3.0,,600.067,1,25
130,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037616587737,756.594,583.571,1.0,3.0,,651.839,1,25
140,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037668710737,761.224,581.33,1.0,3.0,,703.962,1,25
150,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037716616737,762.331,578.325,1.0,3.0,,751.868,1,25
160,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037768636737,763.068,578.042,1.0,3.0,,803.888,1,25
170,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037816654737,763.917,577.282,1.0,3.0,,851.906,1,25
180,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037868583737,701.723,623.469,1.0,,,903.835,1,25
190,e0521967-4743-40ff-905f-06cd13ca87ff,070ca030-a0f7-4a81-ba7f-a802f0144cbd,1634112037916668737,627.918,721.056,1.0,4.0,,951.92,1,25
