index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
0,28fd9a67-489c-4dd0-885a-aa0e48846259,3efe70f0-6d49-46fe-b429-64c66df2db7f,1649753358291184461,793.164,500.407,1.0,1.0,,0.0,1,25
10,28fd9a67-489c-4dd0-885a-aa0e48846259,3efe70f0-6d49-46fe-b429-64c66df2db7f,1649753358343184461,788.523,495.896,1.0,1.0,,52.0,1,25
20,28fd9a67-489c-4dd0-885a-aa0e48846259,3efe70f0-6d49-46fe-b429-64c66df2db7f,1649753358391278461,787.912,496.535,1.0,1.0,,100.094,1,25
29,28fd9a67-489c-4dd0-885a-aa0e48846259,3efe70f0-6d49-46fe-b429-64c66df2db7f,1649753358439207461,785.636,495.053,1.0,1.0,,148.023,1,25
40,28fd9a67-489c-4dd0-885a-aa0e48846259,3efe70f0-6d49-46fe-b429-64c66df2db7f,1649753358491212461,765.541,500.213,1.0,1.0,,200.028,1,25
49,28fd9a67-489c-4dd0-885a-aa0e48846259,3efe70f0-6d49-46fe-b429-64c66df2db7f,1649753358539205461,754.33,490.886,1.0,1.0,,248.021,1,25
60,28fd9a67-489c-4dd0-885a-aa0e48846259,3efe70f0-6d49-46fe-b429-64c66df2db7f,1649753358591676461,768.364,490.768,1.0,1.0,1.0,300.492,1,25
69,28fd9a67-489c-4dd0-885a-aa0e48846259,3efe70f0-6d49-46fe-b429-64c66df2db7f,1649753358639215461,646.339,533.544,1.0,,1.0,348.031,1,25
80,28fd9a67-489c-4dd0-885a-aa0e48846259,3efe70f0-6d49-46fe-b429-64c66df2db7f,1649753358691191461,645.511,557.689,1.0,,1.0,400.007,1,25
89,28fd9a67-489c-4dd0-885a-aa0e48846259,3efe70f0-6d49-46fe-b429-64c66df2db7f,1649753358739207461,687.191,477.003,1.0,,1.0,448.023,1,25
99,28fd9a67-489c-4dd0-885a-aa0e48846259,3efe70f0-6d49-46fe-b429-64c66df2db7f,1649753358787404461,679.681,488.946,1.0,2.0,1.0,496.22,1,25
