index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
243,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425153061373,428.165,324.035,1.0,5.0,,1216.032,308,377
250,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425189023373,429.285,322.248,1.0,5.0,,1251.994,308,375
257,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425221037373,421.061,318.493,1.0,5.0,,1284.008,302,370
265,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425261071373,409.351,317.309,1.0,5.0,,1324.042,289,369
272,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425297070373,412.204,321.597,1.0,5.0,,1360.041,292,374
277,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425321173373,412.278,320.149,1.0,5.0,,1384.144,292,372
285,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425361082373,422.912,314.847,1.0,5.0,,1424.053,304,366
291,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425393065373,416.527,309.452,1.0,5.0,,1456.036,298,358
298,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425429058373,427.102,307.658,1.0,5.0,,1492.029,308,354
306,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425469084373,431.767,304.454,1.0,5.0,,1532.055,313,349
311,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425493081373,463.839,300.972,1.0,,,1556.052,347,345
318,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425529110373,692.853,309.033,1.0,,,1592.081,629,375
325,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425561093373,711.515,310.9,1.0,6.0,,1624.064,879,173
330,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425589068373,706.633,304.932,1.0,6.0,,1652.039,645,367
337,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425621085373,699.822,306.236,1.0,6.0,,1684.056,639,366
344,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425657072373,703.681,318.792,1.0,6.0,,1720.043,359,471
351,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425693052373,613.43,356.701,1.0,,,1756.023,395,469
358,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425729071373,627.776,431.852,1.0,,1.0,1792.042,641,743
364,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425757091373,609.538,426.284,1.0,,1.0,1820.062,523,520
372,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425797139373,576.43,403.915,1.0,,1.0,1860.11,955,590
378,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425829061373,668.654,387.455,1.0,,1.0,1892.032,599,472
384,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425857072373,753.545,408.257,1.0,,1.0,1920.043,719,486
392,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425897070373,699.865,391.031,1.0,,1.0,1960.041,652,466
396,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425917067373,702.025,390.224,1.0,7.0,1.0,1980.038,655,462
404,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425957072373,678.382,378.898,1.0,7.0,1.0,2020.043,623,432
412,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767425997055373,672.138,364.902,1.0,7.0,1.0,2060.026,618,415
418,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426029050373,661.737,357.914,1.0,7.0,,2092.021,598,416
425,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426065062373,660.782,344.947,1.0,7.0,,2128.033,183,220
432,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426097057373,660.172,339.06,1.0,7.0,,2160.028,582,354
438,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426129054373,651.11,345.196,1.0,7.0,,2192.025,824,857
443,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426153083373,637.731,339.534,1.0,7.0,,2216.054,993,92
452,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426197047373,628.449,342.368,1.0,7.0,,2260.018,565,355
458,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426229066373,635.608,345.317,1.0,,,2292.037,569,349
464,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426257063373,687.0,328.462,1.0,8.0,,2320.034,658,340
472,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426297049373,697.081,320.945,1.0,8.0,,2360.02,672,331
477,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426325078373,687.27,319.415,1.0,8.0,,2388.049,662,327
484,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426357054373,681.583,318.191,1.0,8.0,,2420.025,662,325
492,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426397055373,691.317,319.882,1.0,8.0,,2460.026,672,325
498,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426429066373,690.993,324.663,1.0,8.0,,2492.037,676,328
505,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426465065373,692.46,324.924,1.0,8.0,,2528.036,681,326
512,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426497065373,693.854,323.353,1.0,8.0,,2560.036,690,321
518,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426529075373,696.337,326.163,1.0,,,2592.046,692,322
525,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426565093373,627.767,348.491,1.0,9.0,,2628.064,574,333
531,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426593039373,621.687,345.291,1.0,9.0,,2656.01,568,328
537,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426625042373,617.748,342.06,1.0,9.0,,2688.013,562,325
544,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426661037373,602.719,342.566,1.0,9.0,,2724.008,549,148
550,8272bb7b-2544-4d01-a22b-0a624d858b79,58b33a78-ffad-4f4a-b0b0-a9920b49961f,1649767426689026373,602.646,338.662,1.0,9.0,,2751.997,549,145
