index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
241,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768934922805901,530.536,582.837,1.0,,,1209.06,621,606
249,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768934962734901,519.872,587.329,1.0,4.0,,1248.989,612,639
255,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768934991826901,522.532,591.754,1.0,4.0,,1278.081,602,622
260,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935016083901,522.706,585.326,1.0,4.0,,1302.338,609,595
268,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935055884901,518.77,577.223,1.0,4.0,,1342.139,592,600
276,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935095898901,515.608,588.414,1.0,4.0,,1382.153,602,623
281,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935123808901,513.1,584.97,1.0,4.0,,1410.063,596,614
290,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935167818901,512.312,585.441,1.0,4.0,,1454.073,593,594
297,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935203926901,514.38,589.863,1.0,4.0,,1490.181,641,623
302,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935227664901,515.486,588.475,1.0,4.0,,1513.919,594,618
309,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935263759901,516.526,592.56,1.0,4.0,,1550.014,595,673
315,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935291722901,516.733,590.359,1.0,4.0,,1577.977,580,611
320,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935319730901,518.734,587.733,1.0,4.0,,1605.985,590,595
328,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935359767901,518.769,591.572,1.0,4.0,,1646.022,590,563
336,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935399732901,518.032,593.638,1.0,4.0,,1685.987,577,597
343,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935431783901,518.531,590.085,1.0,4.0,,1718.038,579,583
350,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935467727901,517.536,587.898,1.0,4.0,,1753.982,572,574
356,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935499868901,518.874,586.779,1.0,4.0,,1786.123,568,570
363,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935531671901,517.531,586.116,1.0,4.0,,1817.926,571,563
370,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935567858901,516.664,581.927,1.0,4.0,,1854.113,567,546
375,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935591793901,515.641,578.82,1.0,4.0,,1878.048,568,532
382,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935627957901,491.848,598.697,1.0,,,1914.212,645,329
390,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935667770901,479.111,633.495,1.0,5.0,,1954.025,523,605
396,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935699788901,479.926,627.584,1.0,5.0,,1986.043,528,580
401,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935723610901,482.481,628.365,1.0,5.0,,2009.865,517,529
408,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935759784901,481.262,634.404,1.0,5.0,,2046.039,519,529
416,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935799816901,478.219,628.996,1.0,5.0,,2086.071,521,543
422,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935827842901,477.433,626.334,1.0,5.0,,2114.097,510,478
431,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935871809901,480.411,622.397,1.0,5.0,,2158.064,-814,-448
436,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935899639901,481.927,618.489,1.0,5.0,,2185.894,527,508
442,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935927761901,480.713,619.01,1.0,5.0,,2214.016,522,516
450,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768935967789901,477.269,617.374,1.0,5.0,,2254.044,512,467
456,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768936000221901,477.513,614.596,1.0,5.0,,2286.476,521,501
463,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768936032072901,478.584,614.925,1.0,5.0,,2318.327,520,507
470,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768936068017901,478.14,615.569,1.0,5.0,,2354.272,533,602
476,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768936100015901,478.346,608.391,1.0,5.0,,2386.27,520,481
483,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768936132140901,492.842,599.82,1.0,5.0,,2418.395,538,482
489,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768936164072901,501.227,589.288,1.0,5.0,,2450.327,552,469
495,71183d43-5916-40bc-bdc6-7d8168270adb,c21c8067-22d8-4779-88e7-91db49fea600,1649768936195942901,498.781,581.588,1.0,5.0,,2482.197,618,550
