index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
350,8889acc4-8fde-47cd-b0db-9a32c0d66b80,1f8e06ab-c2a8-4c0e-8078-a8fcc033f9cc,1649771131876722041,633.274,589.562,1.0,3.0,,1751.605,558,455
356,8889acc4-8fde-47cd-b0db-9a32c0d66b80,1f8e06ab-c2a8-4c0e-8078-a8fcc033f9cc,1649771131904758041,637.039,590.261,1.0,3.0,,1779.641,570,463
362,8889acc4-8fde-47cd-b0db-9a32c0d66b80,1f8e06ab-c2a8-4c0e-8078-a8fcc033f9cc,1649771131936755041,640.576,586.932,1.0,3.0,,1811.638,587,432
371,8889acc4-8fde-47cd-b0db-9a32c0d66b80,1f8e06ab-c2a8-4c0e-8078-a8fcc033f9cc,1649771131980752041,655.216,549.599,1.0,4.0,,1855.635,591,394
377,8889acc4-8fde-47cd-b0db-9a32c0d66b80,1f8e06ab-c2a8-4c0e-8078-a8fcc033f9cc,1649771132012755041,658.433,544.283,1.0,4.0,,1887.638,598,401
383,8889acc4-8fde-47cd-b0db-9a32c0d66b80,1f8e06ab-c2a8-4c0e-8078-a8fcc033f9cc,1649771132040825041,658.764,544.38,1.0,4.0,,1915.708,598,401
392,8889acc4-8fde-47cd-b0db-9a32c0d66b80,1f8e06ab-c2a8-4c0e-8078-a8fcc033f9cc,1649771132084756041,660.629,544.442,1.0,4.0,,1959.639,649,508
397,8889acc4-8fde-47cd-b0db-9a32c0d66b80,1f8e06ab-c2a8-4c0e-8078-a8fcc033f9cc,1649771132112967041,659.363,543.077,1.0,4.0,,1987.85,613,394
404,8889acc4-8fde-47cd-b0db-9a32c0d66b80,1f8e06ab-c2a8-4c0e-8078-a8fcc033f9cc,1649771132145086041,653.995,539.756,1.0,4.0,,2019.969,610,431
411,8889acc4-8fde-47cd-b0db-9a32c0d66b80,1f8e06ab-c2a8-4c0e-8078-a8fcc033f9cc,1649771132180754041,648.832,520.056,1.0,4.0,,2055.637,626,275
