index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
0,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772218544157113,529.195,428.001,1.0,,,0.0,1,25
9,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772218592254113,547.927,413.636,1.0,1.0,,48.097,1,25
20,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772218644157113,556.769,410.301,1.0,1.0,,100.0,1,25
30,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772218696144113,556.204,411.004,1.0,1.0,,151.987,1,25
40,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772218744155113,557.654,413.834,1.0,1.0,,199.998,1,25
50,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772218796152113,556.315,407.681,1.0,1.0,,251.995,1,25
60,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772218844169113,542.009,406.611,1.0,1.0,,300.012,1,25
69,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772218892161113,540.384,405.153,1.0,1.0,,348.004,1,25
80,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772218944156113,538.122,404.937,1.0,1.0,,399.999,1,25
90,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772218996140113,535.867,405.464,1.0,1.0,,451.983,1,25
100,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772219044151113,533.833,404.306,1.0,1.0,,499.994,1,25
109,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772219092149113,534.114,404.89,1.0,1.0,,547.992,1,25
120,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772219144188113,533.388,406.915,1.0,1.0,,600.031,1,25
129,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772219192176113,531.696,406.701,1.0,1.0,,648.019,1,25
140,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772219244159113,531.079,406.328,1.0,1.0,,700.002,1,25
149,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772219292144113,528.376,411.914,1.0,1.0,,747.987,1,25
159,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772219340186113,527.826,413.394,1.0,1.0,,796.029,1,25
343,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772220264174113,616.428,391.235,1.0,,,1720.017,1,39
349,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772220292164113,608.265,479.755,1.0,,,1748.007,1,27
357,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772220332255113,580.472,539.237,1.0,3.0,,1788.098,1,29
364,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772220368155113,585.255,541.35,1.0,3.0,,1823.998,1,31
371,eee0cd57-ab95-43b7-9caf-d0504c8f8419,001044ad-7e2a-4c93-ac9a-cd3c0f1394b4,1649772220404150113,587.327,541.584,1.0,3.0,,1859.993,1,32
