index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
0,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843382054298234,782.72,486.945,1.0,,,0.0,1,25
10,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843382106274234,779.472,504.566,1.0,,,51.976,1,25
20,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843382154474234,722.663,457.303,1.0,,,100.176,1,25
29,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843382202455234,766.214,461.434,1.0,,,148.157,1,25
40,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843382254309234,740.13,459.682,1.0,,,200.011,1,25
49,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843382302326234,796.279,467.961,1.0,1.0,,248.028,1,25
59,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843382361661234,767.435,451.34,1.0,1.0,,307.363,1,25
69,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843382407179234,725.752,427.269,1.0,2.0,,352.881,1,25
247,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383303190234,581.759,501.514,1.0,,,1248.892,5,25
253,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383331165234,658.293,497.598,1.0,,,1276.867,1,48
258,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383361105234,732.61,481.449,1.0,,,1306.807,3,25
264,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383395092234,708.48,443.719,1.0,,,1340.794,33,25
270,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383420967234,621.334,442.501,1.0,,,1366.669,1,26
277,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383456958234,587.321,411.026,1.0,,,1402.66,13,53
286,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383500931234,592.284,380.661,1.0,4.0,,1446.633,33,25
294,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383540931234,573.241,396.379,1.0,4.0,,1486.633,2,25
299,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383568873234,593.565,384.545,1.0,4.0,,1514.575,33,25
306,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383600961234,623.459,390.605,1.0,,,1546.663,1,30
316,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383652942234,636.384,391.314,1.0,,,1598.644,17,25
319,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383668929234,670.59,402.832,1.0,,,1614.631,1,25
327,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383708908234,711.106,401.341,1.0,5.0,,1654.61,33,25
334,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383740896234,706.299,402.828,1.0,5.0,,1686.598,29,25
339,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383768906234,688.242,380.907,1.0,5.0,,1714.608,10,25
346,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383800956234,702.293,386.882,1.0,5.0,,1746.658,9,41
351,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383828915234,673.261,393.573,1.0,,,1774.617,1,25
359,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383873703234,627.928,425.398,1.0,,,1819.405,33,25
364,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383897729234,574.758,440.369,1.0,,,1843.431,1,25
371,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383933648234,485.108,437.622,1.0,,,1879.35,1,51
381,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383981633234,621.783,418.063,1.0,,,1927.335,33,25
385,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384001688234,626.731,392.431,1.0,,,1947.39,1,32
394,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384049805234,645.111,390.738,1.0,,,1995.507,24,27
398,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384073365234,665.37,380.255,1.0,,,2019.067,1,32
405,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384101672234,613.519,370.858,1.0,6.0,,2047.374,1,25
413,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384141704234,607.646,365.217,1.0,6.0,,2087.406,1,55
418,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384169651234,616.574,367.24,1.0,6.0,,2115.353,1,25
426,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384209974234,615.556,372.072,1.0,6.0,,2155.676,1,25
