index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
247,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383303190234,581.759,501.514,1.0,,,1248.892,658,676
253,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383331165234,658.293,497.598,1.0,,,1276.867,764,668
258,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383361105234,732.61,481.449,1.0,,,1306.807,835,649
264,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383395092234,708.48,443.719,1.0,,,1340.794,821,852
270,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383420967234,621.334,442.501,1.0,,,1366.669,682,605
277,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383456958234,587.321,411.026,1.0,,,1402.66,652,561
286,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383500931234,592.284,380.661,1.0,4.0,,1446.633,661,509
294,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383540931234,573.241,396.379,1.0,4.0,,1486.633,637,530
299,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383568873234,593.565,384.545,1.0,4.0,,1514.575,662,514
306,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383600961234,623.459,390.605,1.0,,,1546.663,705,529
316,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383652942234,636.384,391.314,1.0,,,1598.644,718,528
319,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383668929234,670.59,402.832,1.0,,,1614.631,745,431
327,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383708908234,711.106,401.341,1.0,5.0,,1654.61,787,428
334,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383740896234,706.299,402.828,1.0,5.0,,1686.598,780,429
339,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383768906234,688.242,380.907,1.0,5.0,,1714.608,762,412
346,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383800956234,702.293,386.882,1.0,5.0,,1746.658,776,417
351,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383828915234,673.261,393.573,1.0,,,1774.617,749,387
359,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383873703234,627.928,425.398,1.0,,,1819.405,447,613
364,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383897729234,574.758,440.369,1.0,,,1843.431,643,608
371,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383933648234,485.108,437.622,1.0,,,1879.35,265,568
381,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843383981633234,621.783,418.063,1.0,,,1927.335,703,564
385,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384001688234,626.731,392.431,1.0,,,1947.39,709,530
394,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384049805234,645.111,390.738,1.0,,,1995.507,728,525
398,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384073365234,665.37,380.255,1.0,,,2019.067,164,258
405,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384101672234,613.519,370.858,1.0,6.0,,2047.374,692,501
413,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384141704234,607.646,365.217,1.0,6.0,,2087.406,683,483
418,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384169651234,616.574,367.24,1.0,6.0,,2115.353,703,490
426,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384209974234,615.556,372.072,1.0,6.0,,2155.676,699,506
432,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384237749234,614.784,371.839,1.0,6.0,,2183.451,698,509
438,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384269674234,622.121,384.02,1.0,6.0,,2215.376,707,522
446,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384309697234,616.008,374.789,1.0,6.0,,2255.399,702,513
452,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384337660234,613.181,367.605,1.0,6.0,,2283.362,700,507
458,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384373704234,622.656,374.05,1.0,6.0,,2319.406,711,513
465,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384409650234,613.435,374.714,1.0,6.0,,2355.352,700,516
469,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384429654234,610.302,374.735,1.0,6.0,,2375.356,695,516
480,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384481676234,577.425,368.168,1.0,7.0,,2427.378,649,500
483,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384497665234,586.939,373.412,1.0,7.0,,2443.367,661,504
493,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384549696234,589.038,383.015,1.0,7.0,,2495.398,663,512
497,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384569640234,582.505,390.956,1.0,,,2515.342,668,526
506,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384613687234,647.291,442.737,1.0,8.0,,2559.389,673,687
509,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384629687234,642.981,433.577,1.0,8.0,,2575.389,731,578
516,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384661738234,649.96,423.881,1.0,8.0,,2607.44,734,565
524,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384701718234,639.319,405.521,1.0,8.0,,2647.42,723,546
535,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384757744234,629.871,405.144,1.0,8.0,,2703.446,713,539
537,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384769711234,633.421,404.233,1.0,8.0,,2715.413,716,536
542,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384793671234,602.871,400.26,1.0,,,2739.373,683,531
550,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384833647234,599.71,381.385,1.0,9.0,,2779.349,667,502
557,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384869672234,603.238,370.656,1.0,,,2815.374,676,484
564,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384905662234,631.577,368.488,1.0,,,2851.364,714,478
570,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384933682234,598.883,372.147,1.0,10.0,,2879.384,670,486
577,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384969736234,614.942,371.501,1.0,10.0,,2915.438,692,492
582,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843384993607234,606.297,371.578,1.0,10.0,,2939.309,678,485
591,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385037679234,622.193,368.03,1.0,10.0,,2983.381,705,478
597,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385070058234,587.289,359.858,1.0,11.0,,3015.76,658,473
604,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385105674234,598.201,361.98,1.0,11.0,,3051.376,669,475
611,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385137713234,630.254,346.717,1.0,11.0,,3083.415,711,456
616,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385165651234,624.963,353.801,1.0,11.0,,3111.353,706,463
628,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385225753234,607.812,361.546,1.0,11.0,,3171.455,681,475
636,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385265695234,586.54,363.399,1.0,11.0,,3211.397,657,480
645,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385309661234,591.283,366.805,1.0,11.0,,3255.363,660,487
652,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385345654234,605.766,368.195,1.0,11.0,,3291.356,676,488
655,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385369783234,595.112,363.881,1.0,11.0,,3315.485,665,485
661,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385397712234,625.743,385.17,1.0,12.0,,3343.414,704,523
669,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385437712234,622.902,368.799,1.0,12.0,,3383.414,703,494
675,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385469637234,606.446,362.883,1.0,12.0,,3415.339,675,484
681,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385501643234,601.195,364.708,1.0,12.0,,3447.345,671,485
690,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385545646234,596.039,366.624,1.0,12.0,,3491.348,663,492
694,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385565669234,583.082,367.374,1.0,12.0,,3511.371,649,493
701,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385601663234,607.663,364.38,1.0,12.0,,3547.365,679,484
708,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385633663234,612.635,367.822,1.0,,,3579.365,689,494
715,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385669655234,565.873,368.709,1.0,13.0,,3615.357,624,497
722,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385705686234,583.604,369.166,1.0,13.0,,3651.388,649,497
729,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385741678234,577.936,378.486,1.0,13.0,,3687.38,642,507
735,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385769667234,568.469,376.335,1.0,13.0,,3715.369,631,505
741,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385801691234,570.018,370.456,1.0,13.0,,3747.393,634,499
749,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385841715234,595.599,367.426,1.0,13.0,,3787.417,662,495
754,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385865616234,598.537,361.396,1.0,13.0,,3811.318,670,482
762,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843385905709234,602.385,365.688,1.0,13.0,,3851.411,673,487
