index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
241,7ac26956-2f04-48f3-80bc-50bac5c4fa5e,9a91e5ac-7a67-4a06-84dd-56b1eda4b7c5,1649843543573512191,541.067,505.863,1.0,3.0,,1216.793,619,652
246,7ac26956-2f04-48f3-80bc-50bac5c4fa5e,9a91e5ac-7a67-4a06-84dd-56b1eda4b7c5,1649843543597518191,541.17,507.427,1.0,3.0,,1240.799,684,687
252,7ac26956-2f04-48f3-80bc-50bac5c4fa5e,9a91e5ac-7a67-4a06-84dd-56b1eda4b7c5,1649843543629500191,542.441,512.679,1.0,3.0,,1272.781,636,663
259,7ac26956-2f04-48f3-80bc-50bac5c4fa5e,9a91e5ac-7a67-4a06-84dd-56b1eda4b7c5,1649843543665482191,528.07,512.816,1.0,3.0,,1308.763,586,694
267,7ac26956-2f04-48f3-80bc-50bac5c4fa5e,9a91e5ac-7a67-4a06-84dd-56b1eda4b7c5,1649843543705492191,530.531,492.112,1.0,3.0,,1348.773,685,681
274,7ac26956-2f04-48f3-80bc-50bac5c4fa5e,9a91e5ac-7a67-4a06-84dd-56b1eda4b7c5,1649843543737524191,543.705,471.778,1.0,,,1380.805,639,619
281,7ac26956-2f04-48f3-80bc-50bac5c4fa5e,9a91e5ac-7a67-4a06-84dd-56b1eda4b7c5,1649843543773681191,544.737,445.358,1.0,4.0,,1416.962,634,560
288,7ac26956-2f04-48f3-80bc-50bac5c4fa5e,9a91e5ac-7a67-4a06-84dd-56b1eda4b7c5,1649843543809545191,546.394,449.353,1.0,4.0,,1452.826,630,561
295,7ac26956-2f04-48f3-80bc-50bac5c4fa5e,9a91e5ac-7a67-4a06-84dd-56b1eda4b7c5,1649843543845531191,545.092,455.006,1.0,4.0,,1488.812,627,598
300,7ac26956-2f04-48f3-80bc-50bac5c4fa5e,9a91e5ac-7a67-4a06-84dd-56b1eda4b7c5,1649843543876242191,541.296,460.806,1.0,4.0,,1519.523,616,605
308,7ac26956-2f04-48f3-80bc-50bac5c4fa5e,9a91e5ac-7a67-4a06-84dd-56b1eda4b7c5,1649843543909523191,542.855,459.391,1.0,4.0,,1552.804,613,604
