index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
427,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659197769760710,634.012,491.802,1.0,2.0,,2137.092,724,352
433,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659197797840710,634.645,492.494,1.0,2.0,,2165.172,727,351
440,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659197833834710,634.494,492.434,1.0,2.0,,2201.166,727,350
446,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659197865859710,633.38,492.478,1.0,2.0,,2233.191,727,350
452,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659197893778710,632.7,491.996,1.0,2.0,,2261.11,728,349
460,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659197933803710,632.181,491.482,1.0,2.0,,2301.135,728,348
466,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659197965847710,632.541,492.497,1.0,2.0,,2333.179,731,342
473,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659197997829710,632.309,491.547,1.0,2.0,,2365.161,733,342
481,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198037882710,627.456,492.749,1.0,2.0,,2405.214,731,345
487,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198069956710,623.089,498.146,1.0,2.0,,2437.288,730,357
493,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198097858710,622.125,499.464,1.0,2.0,,2465.19,927,699
498,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198125948710,621.766,501.161,1.0,2.0,,2493.28,489,592
506,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198165813710,621.316,501.248,1.0,2.0,,2533.145,639,915
513,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198197815710,622.189,506.233,1.0,2.0,,2565.147,224,629
520,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198233869710,623.127,507.343,1.0,2.0,,2601.201,205,998
525,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198257855710,623.16,508.91,1.0,2.0,,2625.187,207,1000
534,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198305840710,622.181,509.918,1.0,2.0,,2673.172,206,1001
541,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198337860710,622.933,510.994,1.0,2.0,,2705.192,209,1002
546,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198365855710,622.82,510.009,1.0,2.0,,2733.187,210,1002
554,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198405743710,623.637,509.295,1.0,2.0,,2773.075,210,1001
560,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198433890710,623.665,510.286,1.0,2.0,,2801.222,205,1002
566,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198465905710,625.301,511.058,1.0,2.0,,2833.237,204,1003
573,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198501870710,625.684,510.871,1.0,2.0,,2869.202,205,1003
581,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198541777710,628.696,510.516,1.0,2.0,,2909.109,737,373
586,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198565827710,629.105,510.144,1.0,2.0,,2933.159,736,373
593,c675e4c6-c1bb-4cf0-9e16-a93e9b23101c,504c2b74-e20a-4fa1-8aeb-0287f0c80ab3,1651659198601830710,629.466,509.942,1.0,2.0,,2969.162,736,373
