index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg],heatmap_ts,ref_center_x,ref_center_y
256,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464805702590797,594.596,518.187,1.0,2.0,,4.240020532769339,3.606697485841519,1275.979,1653,733
263,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464805738642797,608.38,505.683,1.0,2.0,,5.285953392731258,4.547325380177253,1312.031,1654,721
269,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464805766613797,607.262,504.322,1.0,2.0,,5.201945798125352,4.6501067152831,1340.002,1650,718
276,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464805802607797,602.511,503.633,1.0,2.0,,4.842811608737467,4.702856844784097,1375.996,2843,429
283,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464805838584797,599.391,506.441,1.0,2.0,,4.605881946160723,4.491689268419286,1411.973,2700,472
291,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464805878604797,601.914,488.17,1.0,2.0,1.0,4.803796611739584,5.868700305644298,1451.993,1702,685
296,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464805902661797,600.136,477.877,1.0,2.0,1.0,4.6738603003931205,6.645082322068272,1476.05,1216,826
306,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464805950716797,576.904,495.422,1.0,2.0,1.0,2.907619625593386,5.325727804144499,1524.105,2219,637
311,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464805978649797,581.35,489.168,1.0,2.0,1.0,3.2459208205972305,5.7969961219340576,1552.038,1766,655
317,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464806006624797,582.117,491.835,1.0,2.0,1.0,3.3032574034609072,5.595675889396984,1580.013,1684,686
325,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464806046756797,585.326,486.449,1.0,2.0,1.0,3.547923099080017,6.001525111235074,1620.145,697,981
330,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464806074651797,538.65,488.063,1.0,,1.0,0.0117741612372692,5.883426627616133,1648.04,859,926
336,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464806102688797,546.639,486.685,1.0,3.0,,0.6170255207215873,5.9873347281107465,1676.077,2320,612
344,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464806142678797,545.863,472.746,1.0,3.0,,0.5589726310264731,7.039493736470044,1716.067,1085,857
349,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464806166745797,543.811,471.63,1.0,3.0,,0.4033492243753838,7.123802184816751,1740.134,1731,670
357,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464806206678797,467.841,413.037,1.0,,,-5.407842706827514,11.531822147068745,1780.067,1607,597
362,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464806234628797,469.413,396.828,1.0,4.0,,-5.30415319685674,12.75513748729874,1808.017,1640,563
369,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464806266718797,479.761,415.265,1.0,4.0,,-4.4937097633560334,11.368772136272453,1840.107,1672,598
376,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464806302682797,467.291,429.769,1.0,4.0,,-5.434107738032573,10.269797124118446,1876.071,1652,610
384,ef5ff382-f199-423a-92f4-870bc83a342d,540fbaa3-6255-403f-82a5-5c2861dbe5af,1688464806342675797,402.437,368.589,1.0,,,-10.51185855207684,14.82789355951768,1916.064,1522,563
