index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg],heatmap_ts,ref_center_x,ref_center_y
370,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471295872194,393.574,520.175,1.0,,,-10.95169304632518,3.4408561629852885,1859.936,508,751
377,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471327922194,377.899,491.904,1.0,,,-12.160910965702309,5.554343107483266,1891.986,392,736
381,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471348243194,407.769,467.242,1.0,,,-9.924233135820169,7.419905038577077,1912.307,420,697
389,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471387913194,367.04,445.607,1.0,,,-13.052991817431469,9.014242334587182,1951.977,427,660
397,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471427955194,394.784,429.122,1.0,,,-10.968471395553095,10.273481262412233,1992.019,1358,635
402,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471455906194,460.211,416.928,1.0,,,-5.987583983774945,11.23478514066917,2019.97,508,608
410,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471496051194,399.861,411.097,1.0,,,-10.61432052177928,11.63132164980406,2060.115,701,613
417,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471528168194,347.106,425.225,1.0,,,-14.617177482445404,10.51906810010376,2092.232,1491,187
424,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471563951194,455.333,381.411,1.0,,,-6.40620251523144,13.909770943727652,2128.015,565,545
429,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471587952194,399.273,384.777,1.0,,,-10.71632151650081,13.607838233179498,2152.016,390,529
437,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471627916194,425.264,395.921,1.0,,,-8.69524624921815,12.794325926273904,2191.98,508,559
443,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471659929194,592.903,429.938,1.0,,,4.15170002576243,10.262824150802484,2223.993,752,599
450,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471695910194,612.248,435.399,1.0,7.0,,5.62295354740326,9.843794465966566,2259.974,722,603
457,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471731903194,596.978,425.325,1.0,7.0,,4.466026186331639,10.60948663211114,2295.967,703,591
462,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471755880194,617.987,421.405,1.0,7.0,,6.074299035326757,10.896121542391352,2319.944,788,599
469,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471791925194,608.086,391.158,1.0,7.0,,5.348520236873908,13.182033471934169,2355.989,743,558
477,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471831888194,622.843,394.739,1.0,7.0,,6.477788913617104,12.903399621606454,2395.952,782,573
484,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471863979194,612.003,386.048,1.0,7.0,,5.655693292091299,13.565316936511678,2428.043,778,565
489,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471891919194,588.785,365.318,1.0,,,3.887709351346117,15.141849106964871,2455.983,735,529
496,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471923936194,581.105,357.797,1.0,,,3.3000880710941147,15.713167815564796,2488.0,733,520
503,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471959926194,571.689,386.777,1.0,,,2.5534288176314504,13.527174459186304,2523.99,719,558
509,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544471991909194,584.464,397.396,1.0,,,3.528489736156672,12.721468002109637,2555.973,731,569
516,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544472023890194,648.241,406.731,1.0,,,8.408149937131666,11.982556427853911,2587.954,841,587
523,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544472060196194,619.514,382.906,1.0,,,6.237782810031797,13.797697636541235,2624.26,794,547
529,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544472091935194,572.357,370.201,1.0,,,2.6145433897602617,14.7790711105085,2655.999,759,537
537,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544472131904194,608.199,373.178,1.0,,,5.378504712623768,14.538471134247189,2695.968,790,529
544,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544472164074194,549.385,397.712,1.0,,,0.8356382422042796,12.70505535806724,2728.138,730,563
549,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544472191972194,539.703,395.482,1.0,,,0.0925136846502538,12.87400038321552,2756.036,687,545
556,dc05c504-89f0-4360-bcf5-c3983ebf2ddd,0f7e96fb-8f43-4d27-b399-6c5bd319270b,1688544472224016194,539.478,406.162,1.0,,,0.0751012152969628,12.067261426023974,2788.08,723,566
