,index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y,ref_coordinates,tag
0,478,4f973aa1-3407-40dd-aa0b-6f34d8f836a0,5148957b-9cd4-4fab-be5d-dc48f5aa0bb0,1638871076374815336,528.068,559.41,1.0,,,2400.039,504,559,"(504, 559)",f chest
1,486,4f973aa1-3407-40dd-aa0b-6f34d8f836a0,5148957b-9cd4-4fab-be5d-dc48f5aa0bb0,1638871076414879336,523.121,562.133,1.0,,,2440.103,499,562,"(499, 562)",f chest
2,491,4f973aa1-3407-40dd-aa0b-6f34d8f836a0,5148957b-9cd4-4fab-be5d-dc48f5aa0bb0,1638871076438757336,517.125,571.039,1.0,,,2463.981,493,571,"(493, 571)",f chest
3,498,4f973aa1-3407-40dd-aa0b-6f34d8f836a0,5148957b-9cd4-4fab-be5d-dc48f5aa0bb0,1638871076474801336,523.048,572.285,1.0,,,2500.025,499,573,"(499, 573)",f chest
4,504,4f973aa1-3407-40dd-aa0b-6f34d8f836a0,5148957b-9cd4-4fab-be5d-dc48f5aa0bb0,1638871076506757336,526.182,560.995,1.0,,,2531.981,502,561,"(502, 561)",f chest
5,511,4f973aa1-3407-40dd-aa0b-6f34d8f836a0,5148957b-9cd4-4fab-be5d-dc48f5aa0bb0,1638871076538802336,525.813,561.123,1.0,,,2564.026,502,561,"(502, 561)",f chest
6,517,4f973aa1-3407-40dd-aa0b-6f34d8f836a0,5148957b-9cd4-4fab-be5d-dc48f5aa0bb0,1638871076570822336,502.757,566.393,1.0,,,2596.046,479,566,"(479, 566)",f chest
7,525,4f973aa1-3407-40dd-aa0b-6f34d8f836a0,5148957b-9cd4-4fab-be5d-dc48f5aa0bb0,1638871076610869336,497.466,576.041,1.0,,,2636.093,474,576,"(474, 576)",f chest
8,531,4f973aa1-3407-40dd-aa0b-6f34d8f836a0,5148957b-9cd4-4fab-be5d-dc48f5aa0bb0,1638871076638786336,498.582,572.869,1.0,,,2664.01,476,573,"(476, 573)",f chest
9,538,4f973aa1-3407-40dd-aa0b-6f34d8f836a0,5148957b-9cd4-4fab-be5d-dc48f5aa0bb0,1638871076674870336,504.083,566.927,1.0,,,2700.094,481,567,"(481, 567)",f chest
