index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
241,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729100113846,793.408,537.587,1.0,,,1207.956,728,497
248,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729132190846,785.759,541.204,1.0,,,1240.033,720,500
254,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729164129846,783.196,554.768,1.0,,,1271.972,719,520
262,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729204134846,790.173,557.892,1.0,,,1311.977,729,519
270,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729244143846,789.959,561.838,1.0,,,1351.986,724,528
275,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729268145846,789.088,564.978,1.0,,,1375.988,729,526
283,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729308115846,786.624,562.619,1.0,,,1415.958,727,525
290,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729344150846,786.114,561.519,1.0,,,1451.993,725,526
297,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729380149846,783.706,561.25,1.0,,,1487.992,726,522
303,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729408120846,785.193,560.952,1.0,,,1515.963,757,489
310,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729444142846,775.155,548.881,1.0,,,1551.985,717,513
315,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729468099846,771.579,541.744,1.0,,,1575.942,717,500
321,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729500089846,768.921,536.402,1.0,,,1607.932,713,485
328,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729532110846,770.148,535.876,1.0,,,1639.953,715,495
336,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729572155846,771.38,535.777,1.0,,,1679.998,719,486
343,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729608117846,771.197,537.246,1.0,,,1715.96,722,480
350,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729644141846,770.224,536.727,1.0,,,1751.984,715,497
356,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729676141846,773.702,542.051,1.0,,,1783.984,718,503
363,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729708127846,802.908,558.115,1.0,,,1815.97,751,523
371,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729748208846,801.484,567.458,1.0,,,1856.051,885,439
376,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729776155846,805.742,564.218,1.0,,,1883.998,757,519
383,3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443729808149846,811.438,564.645,1.0,,,1915.992,757,527
